"DE";"EN"
"der Fahrstuhl, ¨-e";"elevator"
"der Klatsch, -e";"gossip"
"die Zeit, -en";"time"
"der Besitzer, -";"owner"
"die Verabredung, -en";"appointment"
"der Schatz, ¨-e";"treasure, sweetheart"
"der Neubau, -";"new building"
"die Mühle, -en";"mill"
"die Vorführung, -en";"performance"
"die Abteilung -en";"department"
"der Staat, -en";"republic"
"das Thema, -";"topic"
"das Gefühl -e";"feeling"
"der Bereich, -e";"field"
"das Gebiet -e";"field"
"der Alltag, -e";"everyday life"
"die Stimmung, -en";"mood"
"der Tiefpunkt, -e";"low point"
"das Gehirn, -e";"brain"
"die Besprechung, -en";"discussion"
"der Mantel, ¨-";"coat"
"die Glocke, -en";"bell"
"die Klingel, -en";"bell"
"die Abendbrotzeit, -en";"supper time"
"die Wirkung, -en";"effect"
"der Gegenstand, ¨-";"object"
"der Zusammenhang, ¨-";"context"
"die Bedingung, -en";"condition"
"der Horizont, -e";"horizon"
"der Kurs, -e";"class"
"die Weltanschauung, -en";"worldview"
"die Mühe, -en";"work, effort"
"das Verhältnis, -e";"relationship"
"die Entlassung, -en";"setting free, firing"
"die Maßnahme, -en";"measures"
"das Maß, -e";"measure"
"der Umfang, ¨-e";"amount, extent"
"das Urteil, -e";"decision, judgement"
"das Gericht, -e";"court"
"die Spitze, -en";"point, peak"
"die Antike, -en";"ancient times"
"die Quelle, -en";"source"
"das Betrieb, -e";"business"
"die Vorschrift, -en";"regulation"
"der Glaube(, -en)";"faith"
"der Mittelpunkt, -e";"central point"
"die Gnade(, -en)";"grace"
"die Macht, ¨-e";"power"
"der Ablasshandel, -";"indulgence"
"die Zusammenfassung, -en";"summary"
"die Kirche, -en";"church"
"das Land, ¨-e";"country"
"der Beginn, -";"beginning"
"das Einzelkind, -er";"the only child"
"der Kindergarten, ¨-e";"kindergarden"
"der Schulungskurs, -e";"training classes"
"der Trainingskurs, -e";"training classes"
"die Oberschule, -en";"high school"
"der Grund, ¨-e";"reason"
"der Erfolg, -e";"success"
"das Mittel, -e";"method, means"
"das Geschäft, -e";"business"
"der Umsatz, ¨-e";"business circulation"
"der Haifisch, -e";"shark"
"der Nebel, -";"mist"
"die Nachfrage, -en";"demand"
"das Einkommen, -";"income"
"die Werbung, -en";"ad"
"die Bühne, -en";"scene"
"der Stoff, -e";"material"
"die Vorlage, -en";"template"
"die Gelegenheit, -en";"opportunity"
"die Anerkennung, -en";"appreciation"
"die Umgebung, -en";"environment"
"die Nahrung, -en";"food"
"die Rasse, -en";"race"
"das Wohlbefinden, -";"well-being"
"der Wettkampf, ¨-e";"competition"
"der Umgang, ¨-e";"contact, dealings"
"die Höflichkeit, -en";"courtesy, politeness"
"die Begrüßung, -en";"greeting"
"der Verdacht, ¨-e";"suspicion"
"die Sitte, -en";"custom, fashion"
"die Anrede, -en";"address, salutation"
"die Branche, -en";"branch, sector"
"der Rahmen, -";"frame, border, framework"
